"Etiquetas de fila","2017_corrupcion","2018_corrupcion","2019_corrupcion","2020_corrupcion","2021_corrupcion","2022_corrupcion","2023_corrupcion","2024_corrupcion","2017_IDH","2018_IDH","2019_IDH","2020_IDH","2021_IDH","2022_IDH","2023_IDH","2024_IDH","2017_PIM","2018_PIM","2019_PIM","2020_PIM","2021_PIM","2022_PIM","2023_PIM","2024_PIM","2017_Devengado","2018_Devengado2","2019_Devengado22","2020_Devengado2","2021_Devengado3","2022_Devengado23","2023_Devengado3","2024_Devengado4","2018_fragment","2022_fragment"
"CAJAMARCA_SAN MIGUEL","2","0","1","3","1","4","3","7","0.44323939085007","0.44397836923599","0.46628978848457","0.46539196372032","0.45912995934486","0.44984129071236","0.46186342835426","0.46301022171974","  43,767,515 ","  24,525,909 ","  16,852,833 ","  38,700,469 ","  33,667,513 ","  51,507,683 ","  59,128,008 ","  60,457,243 ","  35,518,299 ","  17,627,721 ","  12,982,021 ","  26,952,876 ","  28,938,834 ","  45,785,730 ","  51,206,353 ","  39,936,199 ","  8 ","  5 "
"CAJAMARCA_SAN PABLO","0","0","0","2","2","2","3","5","0.42484244704247","0.43136078119278","0.45605659484863","0.46934041380882","0.44915121793747","0.45326527953148","0.45203918218613","0.47402295470238","  29,332,142 ","  18,752,363 ","  14,717,163 ","  33,973,597 ","  27,339,026 ","  17,688,149 ","  13,591,933 ","  24,499,442 ","  19,551,554 ","  16,003,533 ","  8,291,128 ","  15,747,242 ","  22,758,777 ","  14,420,902 ","  10,168,123 ","  17,173,114 ","  6 ","  7 "
"CAJAMARCA_SANTA CRUZ","0","0","0","1","2","1","2","3","0.46970123052597","0.46411183476448","0.48221218585968","0.47934666275978","0.4769501388073","0.46547201275826","0.48990967869759","0.52201437950134","  37,654,972 ","  34,075,466 ","  35,994,172 ","  70,763,084 ","  54,114,533 ","  73,027,561 ","  61,253,660 ","  54,957,786 ","  28,529,375 ","  21,086,993 ","  25,514,597 ","  37,691,078 ","  37,070,640 ","  45,637,780 ","  40,176,525 ","  41,462,514 ","  4 ","  3 "
"CALLAO_CALLAO","3","5","4","16","7","12","8","19","0.73068833351135","0.72933912277222","0.73380666971207","0.68820548057556","0.70915186405182","0.7118319272995","0.72044783830643","0.72961854934692","  358,050,295 ","  380,913,381 ","  383,382,583 ","  489,889,040 ","  464,015,595 ","  492,511,339 ","  511,888,234 ","  619,233,450 ","  308,567,889 ","  331,622,319 ","  309,744,929 ","  275,169,179 ","  289,604,847 ","  381,042,148 ","  424,063,786 ","  495,709,352 ","  14 ","  17 "
"CUSCO_ACOMAYO","0","1","0","0","0","0","0","0","0.42206543684006","0.41970634460449","0.42861771583557","0.39621579647064","0.38395968079567","0.43976351618767","0.46551740169525","0.46708512306213","  13,494,975 ","  12,863,643 ","  13,433,477 ","  25,005,308 ","  19,314,654 ","  16,270,474 ","  15,040,657 ","  16,720,240 ","  12,489,869 ","  10,187,200 ","  12,595,238 ","  12,473,129 ","  16,654,720 ","  11,731,356 ","  13,032,237 ","  10,478,819 ","  7 ","  4 "
"CUSCO_ANTA","0","0","0","0","1","0","0","1","0.50027930736542","0.50231158733368","0.48988190293312","0.44752576947212","0.45304742455482","0.50399345159531","0.52916157245636","0.53466022014618","  21,284,373 ","  33,716,365 ","  43,832,997 ","  50,615,890 ","  43,932,642 ","  63,598,359 ","  54,596,216 ","  46,221,537 ","  17,810,314 ","  20,397,442 ","  40,719,145 ","  36,007,095 ","  36,186,095 ","  59,458,746 ","  50,811,777 ","  44,835,949 ","  9 ","  7 "
"CUSCO_CALCA","2","0","3","2","1","0","4","1","0.50132656097412","0.49917617440224","0.5066990852356","0.45736122131348","0.45698529481888","0.51357042789459","0.54040449857712","0.55129957199097","  37,185,949 ","  46,663,662 ","  49,935,427 ","  60,091,040 ","  70,526,277 ","  87,571,020 ","  70,952,144 ","  59,457,645 ","  27,703,276 ","  33,721,735 ","  32,541,002 ","  39,460,181 ","  44,868,014 ","  59,373,307 ","  59,638,285 ","  52,787,971 ","  9 ","  8 "
"CUSCO_CANAS","1","5","7","8","2","6","3","15","0.39134329557419","0.40907719731331","0.41523012518883","0.37723082304001","0.38046470284462","0.43403545022011","0.45157620310783","0.45341491699219","  33,224,965 ","  40,935,695 ","  31,763,467 ","  32,224,961 ","  24,437,288 ","  34,304,549 ","  27,906,341 ","  30,314,768 ","  19,415,050 ","  29,522,801 ","  28,541,433 ","  21,615,621 ","  20,852,782 ","  29,433,372 ","  23,944,360 ","  25,380,205 ","  8 ","  9 "
"CUSCO_CANCHIS","1","5","6","2","5","8","10","4","0.51132053136826","0.51450222730637","0.51520597934723","0.46907100081444","0.47815969586372","0.52791959047318","0.54227387905121","0.54871171712875","  56,909,134 ","  60,704,829 ","  61,294,369 ","  73,749,743 ","  75,128,282 ","  124,493,544 ","  107,373,011 ","  108,577,744 ","  47,748,557 ","  51,375,194 ","  51,712,772 ","  41,747,857 ","  49,668,931 ","  94,891,068 ","  83,419,276 ","  88,429,789 ","  11 ","  8 "
"CUSCO_CHUMBIVILCAS","0","3","5","12","10","13","10","13","0.44565773010254","0.43923804163933","0.44733530282974","0.42958924174309","0.4012039899826","0.46632269024849","0.48124125599861","0.48484897613525","  52,462,963 ","  79,733,379 ","  73,369,251 ","  116,872,905 ","  95,307,724 ","  117,363,951 ","  139,607,742 ","  133,288,125 ","  42,111,325 ","  59,440,722 ","  56,891,098 ","  76,019,641 ","  61,499,558 ","  77,765,988 ","  100,431,322 ","  92,467,459 ","  10 ","  7 "
"CUSCO_CUSCO","4","4","14","14","20","11","9","13","0.65980738401413","0.68418926000595","0.69473630189896","0.57643800973892","0.60156714916229","0.67033129930496","0.67471390962601","0.68572223186493","  164,749,989 ","  207,164,708 ","  209,139,369 ","  167,498,544 ","  184,576,807 ","  197,237,657 ","  207,995,768 ","  234,800,267 ","  130,719,411 ","  145,948,473 ","  158,555,883 ","  122,553,070 ","  164,813,210 ","  173,897,859 ","  164,281,612 ","  202,691,221 ","  20 ","  9 "
"CUSCO_ESPINAR","4","6","9","6","10","13","6","15","0.5272068977356","0.53770315647125","0.5430720448494","0.46722877025604","0.47379958629608","0.53720211982727","0.55391418933868","0.55312615633011","  120,325,670 ","  207,883,478 ","  129,512,903 ","  160,435,471 ","  196,451,120 ","  259,305,826 ","  230,628,122 ","  209,191,830 ","  104,256,534 ","  187,754,483 ","  80,535,926 ","  99,973,722 ","  157,362,332 ","  178,771,019 ","  204,941,096 ","  176,440,055 ","  10 ","  7 "
"CUSCO_LA CONVENCION","16","6","17","11","20","24","15","24","0.52907937765121","0.53808915615082","0.53610056638718","0.46145185828209","0.47265830636024","0.54462194442749","0.55181592702866","0.56633567810059","  96,660,618 ","  113,646,844 ","  100,387,886 ","  173,162,376 ","  154,617,380 ","  164,958,983 ","  158,204,023 ","  131,770,856 ","  64,847,930 ","  94,781,677 ","  68,300,047 ","  106,825,009 ","  102,884,021 ","  112,926,743 ","  134,410,548 ","  121,656,117 ","  12 ","  7 "
